x,y,yaw,curvature,speed
-1.871057,-6.253284,-0.936335,0.352606,2.048
-1.793183,-6.354153,-0.894001,0.310133,2.284
-1.713164,-6.449821,-0.858109,0.260884,2.458
-1.630796,-6.542054,-0.828827,0.211347,2.555
-1.546413,-6.631723,-0.806439,0.151128,2.607
-1.46023,-6.719954,-0.789999,0.115324,2.639
-1.372506,-6.807239,-0.777177,0.092287,2.643
-1.283788,-6.893518,-0.767398,0.065786,2.609
-1.194423,-6.979023,-0.760397,0.04717,2.505
-1.104128,-7.064412,-0.76015,0.042208,2.443
-1.012648,-7.151844,-0.76826,0.085186,2.426
-0.920483,-7.241868,-0.782385,0.135644,2.426
-0.829936,-7.333458,-0.80291,0.183098,2.438
-0.74161,-7.427118,-0.829641,0.231403,2.476
-0.655861,-7.52366,-0.861129,0.254915,2.525
-0.572679,-7.623789,-0.893304,0.237164,2.659
-0.49121,-7.728316,-0.922731,0.207695,2.821
-0.411374,-7.836831,-0.949952,0.195967,3.046
-0.33296,-7.949588,-0.972387,0.132572,3.271
-0.255537,-8.065395,-0.989911,0.118283,3.483
-0.178392,-8.185054,-1.002946,0.065523,3.67
-0.100233,-8.308842,-1.010327,0.035857,3.846
-0.020022,-8.437394,-1.013936,0.012658,3.937
0.062069,-8.569533,-1.015309,0.005247,4.0
0.145182,-8.703561,-1.016658,0.011941,4.0
0.228049,-8.837755,-1.01942,0.022991,4.0
0.310723,-8.972733,-1.023154,0.024211,4.0
0.393088,-9.10837,-1.028896,0.048516,4.0
0.473911,-9.243801,-1.03503,0.029494,4.0
0.552711,-9.377236,-1.039483,0.027778,4.0
0.630009,-9.509417,-1.04302,0.018566,4.0
0.704954,-9.638403,-1.045001,0.007674,4.0
0.778119,-9.764655,-1.043441,0.029605,4.0
0.850902,-9.889013,-1.038246,0.042225,3.973
0.924272,-10.012646,-1.030296,0.068706,3.918
0.99838,-10.134766,-1.020334,0.070955,3.83
1.073063,-10.255078,-1.008712,0.092713,3.741
1.14919,-10.374201,-0.997755,0.062164,3.652
1.226334,-10.492609,-0.990404,0.042274,3.564
1.303402,-10.609377,-0.986202,0.017495,3.475
1.380161,-10.725063,-0.98414,0.012196,3.413
1.456356,-10.839478,-0.985982,0.039657,3.379
1.530901,-10.952742,-0.992812,0.061764,3.379
1.603047,-11.064365,-1.00374,0.103302,3.397
1.67238,-11.174906,-1.017966,0.114626,3.428
1.739009,-11.284722,-1.033757,0.131359,3.491
1.802836,-11.394007,-1.049847,0.122374,3.555
1.864241,-11.502964,-1.064786,0.115676,3.643
1.923756,-11.612224,-1.078284,0.100958,3.732
1.981745,-11.721935,-1.090936,0.102731,3.82
2.038307,-11.832329,-1.101284,0.064098,3.884
2.093965,-11.943122,-1.107252,0.032021,3.934
2.149376,-12.054526,-1.109426,0.003036,3.943
2.204808,-12.166077,-1.109064,0.008863,3.946
2.260275,-12.27739,-1.107657,0.013758,3.923
2.315874,-12.388491,-1.103869,0.047118,3.9
2.372236,-12.499487,-1.097449,0.056269,3.878
2.429212,-12.609774,-1.090168,0.061027,3.862
2.486893,-12.719386,-1.082134,0.068783,3.845
2.545309,-12.828137,-1.07204,0.094099,3.839
2.605255,-12.936688,-1.060277,0.095997,3.839
2.666518,-13.044567,-1.048446,0.094501,3.862
2.729232,-13.152042,-1.036368,0.09943,3.885
2.793575,-13.259232,-1.023735,0.101778,3.908
2.860156,-13.367,-1.013576,0.059594,3.931
2.927963,-13.474914,-1.005561,0.065401,3.954
2.997872,-13.584126,-0.997674,0.05641,3.977
3.069776,-13.694649,-0.989719,0.063879,4.0
